ChatGPT Demo - Sample Data
order_id,order_date,ship_date,ship_mode,customer_id,product_id,sales,quantity,discount,profit
CA-2016-2608109,2016-09-17 00:00:00,2016-09-17 00:00:00,Same Day,TT-21070,OFF-FA-10002280,45.00,9,0.00,0.00
ES-2018-1945518,2018-08-29 00:00:00,2018-09-02 00:00:00,Same Day,AC-10420,OFF-FA-10001724,114.00,10,0.03,0.00
ES-2018-853948,2018-07-28 00:00:00,2018-07-29 00:00:00,Same Day,AC-10420,OFF-FA-10001724,114.00,10,0.03,0.00
ES-2019-1912507,2019-04-01 00:00:00,2019-04-05 00:00:00,Same Day,MD-17860,OFF-PA-10001758,114.00,4,0.05,0.00
ES-2019-2038080,2019-03-25 00:00:00,2019-03-28 00:00:00,Same Day,MD-17860,OFF-PA-10001758,114.00,4,0.05,0.00
ID-2019-4299999,2019-05-28 00:00:00,2019-06-01 00:00:00,Same Day,EM-14095,OFF-PA-10003654,76.00,5,0.05,0.00
MX-2018-2938153,2018-10-24 00:00:00,2018-10-27 00:00:00,Same Day,MC-17635,OFF-FA-10001104,54.00,6,0.03,0.00
MX-2018-3389872,2018-12-09 00:00:00,2018-12-11 00:00:00,Same Day,KN-16450,OFF-LA-10000633,33.00,6,0.03,0.00
MX-2018-3434064,2018-09-30 00:00:00,2018-10-02 00:00:00,Same Day,AG-10390,OFF-FA-10000540,44.00,8,0.03,0.00
MX-2018-4087259,2018-07-11 00:00:00,2018-07-12 00:00:00,Same Day,ML-18265,OFF-FA-10000467,46.00,5,0.03,0.00
MX-2019-3973159,2019-09-17 00:00:00,2019-09-17 00:00:00,Same Day,JE-15745,OFF-LA-10000633,11.00,2,0.05,0.00
MX-2019-5358330,2019-07-19 00:00:00,2019-07-21 00:00:00,Same Day,MO-17500,OFF-PA-10000591,166.00,5,0.05,0.00
AJ-2016-1487715,2016-12-08 00:00:00,2016-12-09 00:00:00,Second Class,JH-15820,OFF-ROG-10002682,24.45,1,0.30,0.30
AO-2019-4862102,2019-08-21 00:00:00,2019-08-23 00:00:00,Standard Class,AZ-10750,FUR-RUB-10001796,34.92,2,0.10,0.05
BO-2019-1355783,2019-04-16 00:00:00,2019-04-19 00:00:00,Second Class,MS-17980,OFF-ELD-10002578,20.58,2,0.35,0.28
CA-2016-1100747,2016-11-05 00:00:00,2016-11-08 00:00:00,Same Day,NG-18355,OFF-PA-10004082,15.96,2,0.20,0.20
CA-2015-1688572,2015-12-26 00:00:00,2015-12-27 00:00:00,Second Class,VS-21820,OFF-BI-10003708,10.43,7,0.30,0.30
CA-2016-100006,2016-09-07 00:00:00,2016-09-13 00:00:00,Standard Class,DK-13375,TEC-PH-10002075,377.97,3,0.20,109.61
CA-2016-100293,2016-03-14 00:00:00,2016-03-18 00:00:00,Standard Class,NF-18475,OFF-PA-10000176,91.06,6,0.00,31.87
CA-2016-1003030,2016-09-30 00:00:00,2016-10-04 00:00:00,Same Day,BN-11470,OFF-PA-10001800,10.37,2,0.00,0.00
CA-2016-100678,2016-04-18 00:00:00,2016-04-22 00:00:00,Standard Class,KM-16720,FUR-CH-10002602,317.06,3,0.35,-18.12
CA-2016-100762,2016-11-24 00:00:00,2016-11-29 00:00:00,Standard Class,NG-18355,OFF-AR-10000380,151.92,4,0.30,45.58
CA-2016-100895,2016-06-02 00:00:00,2016-06-06 00:00:00,Standard Class,SV-20785,OFF-ST-10001490,356.94,2,0.05,107.08
IT-2019-5656576,2019-11-27 00:00:00,2019-12-01 00:00:00,Same Day,AB-10105,OFF-LA-10000379,11.34,2,0.05,0.00
CA-2016-100916,2016-10-21 00:00:00,2016-10-26 00:00:00,Standard Class,FH-14275,OFF-ST-10003479,194.70,5,0.05,9.73
CA-2016-1012398,2016-08-25 00:00:00,2016-08-27 00:00:00,Standard Class,BM-11650,OFF-AP-10000358,25.96,2,0.50,0.50
CA-2016-1012695,2016-12-09 00:00:00,2016-12-12 00:00:00,Second Class,KD-16270,OFF-BI-10001267,1.23,1,0.30,0.30
CA-2016-1013462,2016-12-28 00:00:00,2016-12-28 00:00:00,Same Day,AJ-10795,OFF-LA-10001474,274.77,9,0.20,0.20
CA-2016-101364,2016-12-22 00:00:00,2016-12-26 00:00:00,Standard Class,TW-21025,OFF-BI-10003984,296.71,13,0.20,100.14
